,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.01,0.005,0.015,0.005,0.005,0.0,0.0,0.01,0.0,0.0,0.005,0.02,0.005,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0
1,0.025,0.015,0.025,0.03,0.05,0.02,0.035,0.025,0.045,0.03,0.025,0.0,0.015,0.045,0.025,0.045,0.03,0.055,0.06,0.04,0.005
2,0.13,0.055,0.095,0.1,0.09,0.105,0.055,0.12,0.085,0.105,0.155,0.085,0.09,0.1,0.07,0.135,0.085,0.155,0.135,0.155,0.2
3,0.155,0.17,0.1,0.165,0.17,0.15,0.23,0.155,0.245,0.23,0.35,0.265,0.285,0.34,0.29,0.35,0.37,0.25,0.325,0.385,0.32
4,0.175,0.17,0.24,0.26,0.23,0.385,0.335,0.365,0.415,0.575,0.365,0.605,0.565,0.62,0.54,0.59,0.66,0.695,0.675,0.605,0.68
5,0.18,0.195,0.255,0.335,0.355,0.335,0.56,0.56,0.54,0.68,0.605,0.68,0.66,0.725,0.685,0.805,0.775,0.805,0.86,0.75,0.82
6,0.185,0.195,0.22,0.335,0.51,0.47,0.51,0.63,0.715,0.73,0.68,0.785,0.855,0.79,0.855,0.91,0.91,0.92,0.9,0.92,0.935
7,0.16,0.15,0.255,0.285,0.35,0.445,0.535,0.665,0.715,0.66,0.73,0.805,0.91,0.885,0.92,0.93,0.95,0.93,0.97,0.925,0.97
8,0.135,0.165,0.185,0.25,0.305,0.415,0.5,0.555,0.71,0.745,0.8,0.85,0.84,0.86,0.91,0.92,0.91,0.965,0.975,0.95,0.97
9,0.14,0.155,0.095,0.205,0.3,0.29,0.465,0.53,0.57,0.635,0.775,0.79,0.8,0.875,0.92,0.925,0.945,0.97,0.97,0.98,0.98
10,0.09,0.18,0.135,0.215,0.3,0.265,0.385,0.46,0.605,0.625,0.745,0.705,0.87,0.86,0.92,0.915,0.97,0.94,0.99,0.98,0.97
11,0.055,0.1,0.105,0.14,0.265,0.285,0.385,0.43,0.55,0.56,0.665,0.805,0.865,0.81,0.8,0.905,0.915,0.945,0.98,0.945,0.955
12,0.045,0.105,0.115,0.165,0.19,0.22,0.275,0.355,0.43,0.515,0.625,0.67,0.71,0.87,0.805,0.92,0.915,0.91,0.91,0.92,0.945
13,0.02,0.08,0.135,0.13,0.185,0.26,0.22,0.305,0.39,0.495,0.605,0.65,0.65,0.78,0.82,0.84,0.88,0.94,0.93,0.99,0.945
14,0.055,0.055,0.06,0.085,0.12,0.17,0.265,0.295,0.285,0.3,0.515,0.615,0.635,0.75,0.815,0.785,0.84,0.915,0.91,0.93,0.985
15,0.02,0.035,0.065,0.095,0.11,0.15,0.155,0.265,0.31,0.315,0.575,0.51,0.595,0.735,0.81,0.82,0.885,0.875,0.89,0.935,0.975
16,0.04,0.06,0.075,0.07,0.115,0.09,0.12,0.185,0.29,0.37,0.4,0.4,0.58,0.64,0.705,0.675,0.85,0.78,0.825,0.885,0.9
17,0.01,0.06,0.045,0.07,0.1,0.11,0.105,0.145,0.22,0.29,0.29,0.425,0.475,0.48,0.565,0.735,0.765,0.845,0.855,0.865,0.905
18,0.02,0.035,0.07,0.035,0.03,0.06,0.075,0.14,0.19,0.24,0.38,0.33,0.44,0.55,0.53,0.59,0.78,0.795,0.835,0.895,0.895
19,0.02,0.02,0.03,0.045,0.04,0.045,0.095,0.07,0.17,0.195,0.265,0.33,0.435,0.485,0.61,0.65,0.665,0.765,0.795,0.905,0.825
20,0.025,0.01,0.02,0.025,0.03,0.065,0.085,0.075,0.1,0.15,0.155,0.335,0.35,0.345,0.485,0.555,0.685,0.745,0.635,0.785,0.895
21,0.02,0.015,0.015,0.015,0.035,0.055,0.06,0.1,0.07,0.12,0.17,0.265,0.24,0.405,0.47,0.42,0.585,0.65,0.705,0.8,0.825
22,0.01,0.015,0.02,0.01,0.03,0.04,0.08,0.1,0.09,0.13,0.13,0.18,0.25,0.27,0.34,0.38,0.51,0.575,0.585,0.795,0.77
23,0.015,0.005,0.015,0.015,0.005,0.02,0.055,0.04,0.08,0.075,0.155,0.19,0.185,0.28,0.385,0.465,0.5,0.515,0.595,0.685,0.725
24,0.005,0.01,0.005,0.005,0.025,0.005,0.025,0.01,0.065,0.075,0.08,0.14,0.205,0.175,0.28,0.27,0.37,0.515,0.56,0.71,0.665
25,0.0,0.01,0.01,0.015,0.01,0.02,0.015,0.025,0.04,0.065,0.115,0.065,0.145,0.245,0.23,0.32,0.465,0.465,0.545,0.525,0.685
26,0.0,0.0,0.005,0.015,0.0,0.02,0.03,0.015,0.04,0.05,0.07,0.115,0.095,0.145,0.2,0.255,0.315,0.445,0.355,0.45,0.585
27,0.005,0.005,0.005,0.005,0.0,0.0,0.005,0.01,0.065,0.04,0.035,0.085,0.125,0.11,0.175,0.235,0.275,0.28,0.325,0.575,0.535
28,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.01,0.03,0.03,0.04,0.04,0.105,0.08,0.13,0.13,0.245,0.275,0.405,0.39,0.495
29,0.005,0.005,0.0,0.01,0.005,0.0,0.0,0.015,0.01,0.05,0.035,0.045,0.075,0.06,0.07,0.2,0.175,0.285,0.28,0.415,0.44
30,0.0,0.005,0.02,0.0,0.0,0.005,0.005,0.01,0.015,0.015,0.025,0.03,0.06,0.04,0.075,0.16,0.19,0.21,0.195,0.275,0.375
31,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.02,0.02,0.025,0.02,0.03,0.04,0.075,0.045,0.08,0.06,0.195,0.21,0.345,0.335
32,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.005,0.01,0.01,0.02,0.01,0.015,0.06,0.075,0.065,0.04,0.185,0.205,0.195,0.175
33,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.015,0.0,0.005,0.005,0.01,0.025,0.07,0.055,0.115,0.105,0.15,0.19,0.235
34,0.0,0.005,0.0,0.0,0.0,0.015,0.005,0.015,0.0,0.0,0.02,0.015,0.01,0.03,0.01,0.085,0.05,0.12,0.155,0.2,0.175
35,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.01,0.005,0.005,0.015,0.025,0.005,0.045,0.055,0.045,0.11,0.13,0.125,0.135
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.01,0.0,0.015,0.01,0.0,0.02,0.04,0.07,0.06,0.11,0.095,0.125,0.16
37,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.0,0.02,0.01,0.015,0.025,0.02,0.035,0.025,0.025,0.02,0.095,0.095,0.14
38,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.005,0.0,0.005,0.01,0.01,0.015,0.02,0.02,0.045,0.055,0.07,0.12
39,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.015,0.015,0.01,0.02,0.01,0.015,0.025,0.045,0.085,0.045,0.1
40,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.025,0.01,0.035,0.06,0.03,0.055,0.06,0.09
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.015,0.01,0.01,0.025,0.015,0.02,0.015
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.015,0.015,0.02,0.065
43,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.005,0.005,0.005,0.01,0.01,0.005,0.03,0.03
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.01,0.015,0.005,0.005,0.045,0.04
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.02,0.0,0.005,0.0,0.005,0.01,0.01,0.02,0.03
46,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.01,0.005,0.01,0.01,0.015,0.02
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.005,0.0,0.0,0.0,0.01,0.005,0.005,0.025
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.015
49,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
