Count,Group,E1,E2
1,Control,0,0
2,Control,0,0
3,Control,0,0
4,Control,0,0
5,Control,0,0
6,Control,0,0
7,Control,0,0
8,Control,0,0
9,Control,0,0
10,Control,0,0
11,Control,0,0
12,Control,0,0
13,Control,0,0
14,Control,0,0
15,Control,0,0
16,Control,0,0
17,Control,0,0
18,Control,0,0
19,Control,0,0
20,Control,0,0
21,Control,0,0
22,Control,0,0
23,Control,0,0
24,Control,0,0
25,Control,0,0
26,Control,0,0
27,Control,0,0
28,Control,0,0
29,Control,0,0
30,Control,0,0
31,Control,0,0
32,Control,0,0
33,Control,0,0
34,Control,0,0
35,Control,0,0
36,Control,0,0
37,Control,0,0
38,Control,0,0
39,Control,0,0
40,Control,0,0
41,Control,0,0
42,Control,0,0
43,Control,0,0
44,Control,0,0
45,Control,0,0
46,Control,0,0
47,Control,0,0
48,Control,0,0
49,Control,0,0
50,Control,0,0
51,Control,0,0
52,Control,0,0
53,Control,0,0
54,Control,0,0
55,Control,0,0
56,Control,0,0
57,Control,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,0
11,Plain,0,0
12,Plain,0,0
13,Plain,0,0
1,DBB,1,1
2,DBB,1,1
3,DBB,1,1
4,DBB,1,1
5,DBB,1,1
6,DBB,1,0
7,DBB,1,0
8,DBB,1,0
9,DBB,0,0
10,DBB,0,0
11,DBB,0,0
12,DBB,0,0
13,DBB,0,0
14,DBB,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,0
11,Plain,1,0
12,Plain,0,0
13,Plain,0,0
14,Plain,0,0
1,DBB,1,1
2,DBB,1,1
3,DBB,1,1
4,DBB,1,1
5,DBB,1,1
6,DBB,1,0
7,DBB,1,0
8,DBB,1,0
9,DBB,1,0
10,DBB,1,0
11,DBB,0,0
12,DBB,0,0
13,DBB,0,0
14,DBB,0,0
15,DBB,0,0
16,DBB,0,0
17,DBB,0,0
18,DBB,0,0
19,DBB,0,0
20,DBB,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,0
6,Plain,1,0
7,Plain,1,0
8,Plain,1,0
9,Plain,1,0
10,Plain,1,0
11,Plain,0,0
12,Plain,0,0
13,Plain,0,0
14,Plain,0,0
15,Plain,0,0
1,DBB,1,1
2,DBB,1,1
3,DBB,1,0
4,DBB,1,0
5,DBB,1,0
6,DBB,1,0
7,DBB,0,0
8,DBB,0,0
9,DBB,0,0
10,DBB,0,0
11,DBB,0,0
12,DBB,0,0
13,DBB,0,0
14,DBB,0,0
15,DBB,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,1
11,Plain,1,0
12,Plain,1,0
1,DBB,1,1
2,DBB,1,1
3,DBB,1,0
4,DBB,1,0
5,DBB,1,0
6,DBB,0,0
7,DBB,0,0
8,DBB,0,0
9,DBB,0,0
10,DBB,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,0
10,Plain,0,0
1,DBB,1,1
2,DBB,1,1
3,DBB,1,1
4,DBB,1,1
5,DBB,1,1
6,DBB,1,1
7,DBB,1,0
8,DBB,1,0
9,DBB,0,0
10,DBB,0,0
11,DBB,0,0
12,DBB,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,0
11,Plain,1,0
12,Plain,1,0
13,Plain,0,0
14,Plain,0,0
15,Plain,0,0
1,DBB,1,1
2,DBB,1,1
3,DBB,1,1
4,DBB,1,1
5,DBB,1,1
6,DBB,1,1
7,DBB,1,0
8,DBB,1,0
9,DBB,1,0
10,DBB,1,0
11,DBB,1,0
12,DBB,0,0
13,DBB,0,0
14,DBB,0,0
15,DBB,0,0
1,Control,0,0
2,Control,0,0
3,Control,0,0
4,Control,0,0
5,Control,0,0
6,Control,0,0
7,Control,0,0
8,Control,0,0
9,Control,0,0
10,Control,0,0
11,Control,0,0
12,Control,0,0
13,Control,0,0
14,Control,0,0
15,Control,0,0
16,Control,0,0
17,Control,0,0
18,Control,0,0
19,Control,0,0
20,Control,0,0
21,Control,0,0
22,Control,0,0
23,Control,0,0
24,Control,0,0
25,Control,0,0
26,Control,0,0
27,Control,0,0
28,Control,0,0
29,Control,0,0
30,Control,0,0
31,Control,0,0
32,Control,0,0
33,Control,0,0
34,Control,0,0
35,Control,0,0
36,Control,0,0
37,Control,0,0
38,Control,0,0
39,Control,0,0
40,Control,0,0
41,Control,0,0
42,Control,0,0
43,Control,0,0
44,Control,0,0
45,Control,0,0
46,Control,0,0
47,Control,0,0
48,Control,0,0
49,Control,0,0
50,Control,0,0
51,Control,0,0
52,Control,0,0
53,Control,0,0
54,Control,0,0
55,Control,0,0
56,Control,0,0
57,Control,0,0
58,Control,0,0
59,Control,0,0
60,Control,0,0
61,Control,0,0
62,Control,0,0
63,Control,0,0
64,Control,0,0
65,Control,0,0
66,Control,0,0
67,Control,0,0
68,Control,0,0
69,Control,0,0
70,Control,0,0
71,Control,0,0
72,Control,0,0
73,Control,0,0
74,Control,0,0
75,Control,0,0
76,Control,0,0
77,Control,0,0
78,Control,0,0
79,Control,0,0
80,Control,0,0
81,Control,0,0
82,Control,0,0
83,Control,0,0
84,Control,0,0
85,Control,0,0
86,Control,0,0
87,Control,0,0
88,Control,0,0
89,Control,0,0
90,Control,0,0
91,Control,0,0
92,Control,0,0
93,Control,0,0
94,Control,0,0
95,Control,0,0
96,Control,0,0
97,Control,0,0
98,Control,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,1
11,Plain,1,1
12,Plain,1,1
13,Plain,1,1
14,Plain,1,0
15,Plain,0,0
16,Plain,0,0
17,Plain,0,0
1,DBB,1,1
2,DBB,1,1
3,DBB,1,1
4,DBB,1,1
5,DBB,1,1
6,DBB,1,1
7,DBB,1,1
8,DBB,1,1
9,DBB,1,1
10,DBB,1,0
11,DBB,1,0
12,DBB,1,0
13,DBB,0,0
14,DBB,0,0
15,DBB,0,0
16,DBB,0,0
17,DBB,0,0
18,DBB,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,1
11,Plain,1,1
12,Plain,1,1
13,Plain,1,0
14,Plain,1,0
15,Plain,1,0
16,Plain,1,0
1,DBB,1,1
2,DBB,1,1
3,DBB,1,1
4,DBB,1,1
5,DBB,1,1
6,DBB,1,1
7,DBB,1,1
8,DBB,1,1
9,DBB,1,1
10,DBB,1,1
11,DBB,1,0
12,DBB,1,0
13,DBB,1,0
14,DBB,0,0
15,DBB,0,0
16,DBB,0,0
17,DBB,0,0
18,DBB,0,0
19,DBB,0,0
20,DBB,0,0
1,Plain,1,1
2,Plain,1,1
3,Plain,1,1
4,Plain,1,1
5,Plain,1,1
6,Plain,1,1
7,Plain,1,1
8,Plain,1,1
9,Plain,1,1
10,Plain,1,1
11,Plain,1,1
12,Plain,1,1
13,Plain,1,1
14,Plain,1,1
15,Plain,1,1
16,Plain,1,1
17,Plain,1,1
18,Plain,1,1
19,Plain,1,1
20,Plain,1,1
21,Plain,1,1
22,Plain,1,1
23,Plain,1,1
24,Plain,1,1
25,Plain,1,1
26,Plain,1,1
27,Plain,1,0
28,Plain,1,0
29,Plain,1,0
30,Plain,1,0
31,Plain,1,0
32,Plain,1,0
33,Plain,1,0
34,Plain,1,0
35,Plain,0,0
36,Plain,0,0
37,Plain,0,0
38,Plain,0,0
39,Plain,0,0
40,Plain,0,0
41,Plain,0,0
42,Plain,0,0
43,Plain,0,0
1,DBB,1,1
2,DBB,1,1
3,DBB,1,1
4,DBB,1,1
5,DBB,1,1
6,DBB,1,1
7,DBB,1,1
8,DBB,1,1
9,DBB,1,1
10,DBB,1,1
11,DBB,1,1
12,DBB,1,1
13,DBB,1,0
14,DBB,1,0
15,DBB,0,0
16,DBB,0,0
17,DBB,0,0
18,DBB,0,0
19,DBB,0,0
20,DBB,0,0
21,DBB,0,0
22,DBB,0,0
23,DBB,0,0
24,DBB,0,0
25,DBB,0,0
26,DBB,0,0
27,DBB,0,0
28,DBB,0,0
29,DBB,0,0